Trial,1,2,3,4,5,6
Inches of Fuel per Minute,1.00,1.31,1.6,1.810,2.19,2.5
Fuel Power (W),11534,15109,17992,20876,25258,28834
t,1.33,1.40,1.4,1.400,1.38,1.4
t',0.00,0.20,0.3,0.350,0.45,0.6
Angular Deflection (deg),0.00,2.24,2.78,3.87,4.95,6.57
Volts,253,245,244,244,243,242
Amps,0.0,9.3,13.9,17.6,21.9,26.1
Generator Energy Output (W),0.0,2278.5,3391.6,4294.4,5321.7,6316.2
RPM,1888,1865,1853,1844,1832,1825
Torque (Nm),0.00,19.28,23.95,33.36,42.61,56.60
Shaft Power (W),0,3766,4647,6442,8175,10817
System Efficiency,0.000,0.151,0.189,0.206,0.211,0.219
Generator Efficiency,0.000,0.605,0.730,0.667,0.651,0.584
Engine Efficiency,0.000,0.151,0.189,0.206,0.211,0.219
