Strain    ,Stress
0         , Stress
0.00235748,  0.168
0.0106403 ,  0.505
0.0121153 ,  1.273
0.013868  ,  2.080
0.0154806 ,  3.057
0.0171106 ,  4.466
0.0187707 ,  5.801
0.0204932 ,  7.127
0.0224658 ,  8.597
0.0242409 ,  9.841
0.0260435 , 11.039
0.0278283 , 12.364
0.0298287 , 13.664
0.0316809 , 14.946
0.0335361 , 16.122
0.0354312 , 17.420
0.0372939 , 18.728
0.0394214 , 20.151
0.0413263 , 21.303
0.043229  , 22.441
0.0451616 , 23.682
0.0470665 , 24.995
0.0492293 , 26.339
0.0511666 , 27.520
0.0530844 , 28.632
0.055217  , 29.998
0.0571493 , 31.350
0.0590819 , 32.519
0.0610372 , 33.675
0.0629921 , 34.799
0.0652173 , 36.036
0.0671597 , 37.191
0.0691074 , 38.279
0.071075  , 39.423
0.07304   , 40.574
0.0752775 , 41.869
0.0772252 , 42.977
0.0791802 , 43.962
0.0813351 , 45.141
0.0833128 , 45.975
0.0853304 , 38.258
0.0901181 ,  2.045
