Time - Plot 0,Amplitude - Plot 0
1661,6.98106
1662,9.97373
1663,11.8121
1664,12.1084
1665,10.8575
1666,8.25696
1667,4.70872
1668,0.700216
1669,-3.60932
1670,-7.56222
1671,-10.5359
1672,-12.279
1673,-12.5163
1674,-11.0102
1675,-8.31222
1676,-4.37781
1677,-0.166776
1678,3.86177
1679,7.40525
1680,10.0473
1681,11.4705
1682,11.4515
1683,9.90336
1684,7.26668
1685,3.71883
1686,-0.227649
1687,-4.30705
1688,-8.02108
1689,-10.5413
1690,-11.9094
1691,-11.8137
1692,-10.1239
1693,-7.1171
1694,-3.36467
1695,0.77406
1696,4.49721
1697,7.76278
1698,10.0117
1699,11.1478
1700,10.7919
1701,8.99373
1702,6.20243
1703,2.78878
1704,-1.13702
1705,-4.9746
1706,-8.38734
1707,-10.4514
1708,-11.3652
1709,-10.9466
1710,-9.17805
1711,-6.02254
1712,-2.30491
1713,1.64105
1714,5.09374
1715,8.02477
1716,9.89668
1717,10.6573
1718,9.93302
1719,8.11171
1720,5.17555
1721,1.81494
1722,-2.00941
1723,-5.57845
1724,-8.65164
1725,-10.3212
1726,-10.7854
1727,-10.206
1728,-8.11958
1729,-4.89998
1730,-1.27611
1731,2.46605
1732,5.55761
1733,8.24771
1734,9.66128
1735,10.0641
1736,9.11946
1737,7.13119
1738,4.18218
1739,0.859719
1740,-2.82798
1741,-6.10088
1742,-8.81718
1743,-10.1257
1744,-10.3019
1745,-9.45365
1746,-6.97326
1747,-3.83239
1748,-0.264507
1749,3.15222
1750,6.03072
1751,8.33992
1752,9.37207
1753,9.40995
1754,8.3701
1755,6.05949
1756,3.22337
1757,-0.114122
1758,-3.55859
1759,-6.54972
1760,-8.87972
1761,-9.91752
1762,-9.89016
1763,-8.47544
1764,-5.87883
1765,-2.78393
1766,0.679411
1767,3.80962
1768,6.42216
1769,8.35495
1770,9.09454
1771,8.8522
1772,7.49643
1773,5.05868
1774,2.28086
1775,-1.05342
1776,-4.2323
1777,-6.91111
1778,-8.82758
1779,-9.70164
1780,-9.24689
1781,-7.40027
1782,-4.80726
1783,-1.73818
1784,1.54615
1785,4.36994
1786,6.72267
1787,8.2829
1788,8.70413
1789,8.20983
1790,6.49844
1791,4.09781
1792,1.29212
1793,-1.91707
1794,-4.80007
1795,-7.18131
1796,-8.62069
1797,-9.12565
1798,-8.26007
1799,-6.34488
1800,-3.75328
1801,-0.738778
1802,2.34135
1803,4.84986
1804,6.91004
1805,8.11698
1806,8.26287
1807,7.41578
1808,5.49455
1809,3.16429
1810,0.324703
1811,-2.67721
1812,-5.28859
1813,-7.34672
1814,-8.30811
1815,-8.38092
1816,-7.38152
1817,-5.30876
1818,-2.70046
1819,0.27282
1820,3.03086
1821,5.23398
1822,6.98723
1823,7.87348
1824,7.76574
1825,6.46865
1826,4.56078
1827,2.1857
1828,-0.650679
1829,-3.36891
1830,-5.65974
1831,-7.38396
1832,-7.94556
1833,-7.78324
1834,-6.37018
1835,-4.29883
1836,-1.67422
1837,1.16768
1838,3.62482
1839,5.55889
1840,6.91454
1841,7.55127
1842,6.9713
1843,5.54952
1844,3.64768
1845,1.2256
1846,-1.50714
1847,-4.00551
1848,-5.93418
1849,-7.27146
1850,-7.70015
1851,-7.00331
1852,-5.38299
1853,-3.22571
1854,-0.672383
1855,1.95582
1856,4.14032
1857,5.76334
1858,6.6636
1859,6.81373
1860,6.17533
1861,4.616
1862,2.6818
1863,0.28913
1864,-2.31275
1865,-4.5079
1866,-6.0716
1867,-6.97378
1868,-7.00486
1869,-6.07121
1870,-4.42944
1871,-2.21848
1872,0.350003
1873,2.64289
1874,4.49811
1875,5.84964
1876,6.51283
1877,6.37708
1878,5.2919
1879,3.78111
1880,1.7393
1881,-0.711809
1882,-2.94511
1883,-4.89587
1884,-6.07763
1885,-6.67057
1886,-6.35978
1887,-5.20371
1888,-3.37096
1889,-1.20907
1890,1.2152
1891,3.29208
1892,4.72593
1893,5.77683
1894,6.09108
1895,5.60936
1896,4.46613
1897,2.8684
1898,0.789599
1899,-1.55491
1900,-3.54305
1901,-5.11651
1902,-5.92494
1903,-6.10165
1904,-5.56278
1905,-4.25825
1906,-2.38518
1907,-0.165492
1908,1.96584
1909,3.74464
1910,4.89918
1911,5.62542
1912,5.64121
1913,4.827
1914,3.69366
1915,1.89276
1916,-0.19015
1917,-2.26677
1918,-4.01912
1919,-5.21347
1920,-5.68504
1921,-5.6085
1922,-4.80469
1923,-3.23278
1924,-1.3764
1925,0.780481
1926,2.58664
1927,4.07983
1928,4.94027
1929,5.17156
1930,4.95812
1931,4.16356
1932,2.7116
1933,0.971833
1934,-1.12084
1935,-2.86073
1936,-4.33299
1937,-5.19073
1938,-5.31338
1939,-5.00722
1940,-3.85178
1941,-2.25714
1942,-0.349139
1943,1.58198
1944,3.17007
1945,4.2297
1946,4.8401
1947,4.86193
1948,4.33167
1949,3.37093
1950,1.79336
1951,0.0077523
1952,-1.87623
1953,-3.33757
1954,-4.50546
1955,-5.03175
1956,-4.97794
1957,-4.17028
1958,-2.84648
1959,-1.28163
1960,0.635619
