Angle,Freq,Drag Offset,Drag Force,Drag Voltage,Lift Offset,Lift Force,Lift Votlage
0,0,-0.73,-0.00138763,-0.00019032,2.6,-0.0216,9.47E-05
0,20,-0.73,0.237321,-0.0001282,2.6,1.00495,0.00013239
0,40,-0.73,0.403779,-9.49E-01,2.6,2.74834,0.00019641
0,60,-0.73,0.652454,-2.02E-05,2.6,5.31372,0.00029062
5,0,-0.8983,0.00537965,-0.00023235,2.47535,0.004946,9.11E-05
5,20,-0.8983,0.232001,-0.00017338,2.47535,3.25111,0.0002103
5,40,-0.8983,0.4907,-0.00010606,2.47535,8.45744,0.0004015
5,60,-0.8983,0.858481,-1.04E-05,2.47535,15.333,0.000654
10,0,-0.83234,0.000781199,-0.00021638,2.46992,-0.0068,9.07E-05
10,20,-0.83234,0.263769,-0.00014795,2.46992,4.58945,0.00025925
10,40,-0.83234,0.623802,-5.43E-05,2.46992,10.6378,0.00048137
10,60,-0.83234,1.11618,7.39E-05,2.46992,19.3318,0.00080065
